Altium Designer Pick and Place Locations
G:\202105\NC-1\LEDController_NC-1\Project Outputs for LEDController_NC-1\Pick and Place File\Pick Place for LEDController.csv

========================================================================================================================
File Design Information:

Date:       28/05/21
Time:       10:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"RB1","0603","TopLayer","R0603","7805.000","675.000","360","RES SMD 330 OHM 1% 1/10W 0603"
"Pallete","KP0115ANBKG03RGB-2SJB","TopLayer","KP0115ANBKG03RGB-2SJB","7407.500","602.500","0","Pushbutton Switch SPST-NO Standard, Illuminated Through Hole"
"CB1","0603","TopLayer","C0603","7765.000","810.000","270","CAP CER 0.1UF 50V X5R 0603"
"RP","0603","TopLayer","R0603","476.496","800.000","360","RES SMD 1K OHM 1% 1/10W 0603"
"RP7","0603","TopLayer","R0603","12470.000","210.000","360","RES SMD 330 OHM 1% 1/10W 0603"
"RP6","0603","TopLayer","R0603","10830.000","210.000","360","RES SMD 330 OHM 1% 1/10W 0603"
"RP5","0603","TopLayer","R0603","9220.000","210.000","360","RES SMD 330 OHM 1% 1/10W 0603"
"RP4","0603","TopLayer","R0603","5974.917","221.811","360","RES SMD 330 OHM 1% 1/10W 0603"
"RP3","0603","TopLayer","R0603","4345.000","210.000","360","RES SMD 330 OHM 1% 1/10W 0603"
"RP2","0603","TopLayer","R0603","2720.000","210.000","360","RES SMD 330 OHM 1% 1/10W 0603"
"RP1","0603","TopLayer","R0603","1070.000","210.000","0","RES SMD 330 OHM 1% 1/10W 0603"
"Q1","SS8050-G","TopLayer","TRAN_SS8050-G_CIP","410.000","675.000","180","Bipolar (BJT) Transistor NPN 25V 1.5A 100MHz 300mW Surface Mount SOT-23"
"LEDP7","150060AS75000","TopLayer","LED-0603-Amber","12283.465","210.000","180","Amber 605nm LED Indication - Discrete 2V 0603 (1608 Metric)"
"LEDP6","150060AS75000","TopLayer","LED-0603-Amber","10660.000","210.000","180","Amber 605nm LED Indication - Discrete 2V 0603 (1608 Metric)"
